#mip results PROTO15-TB2022-03
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 2 45 39.4528 -1 3.25642 0.804353 412
0 2 46 0 -10 0 0 0
0 2 47 0 -10 0 0 0
0 2 48 0 -10 0 0 0
0 2 49 0 -10 0 0 0
0 2 50 0 -10 0 0 0
0 2 51 0 -10 0 0 0
0 2 52 0 -10 0 0 0
0 2 53 0 -10 0 0 0
0 2 54 0 -10 0 0 0
0 2 55 0 -10 0 0 0
0 2 56 0 -10 0 0 0
0 2 57 0 -10 0 0 0
0 2 58 0 -10 0 0 0
0 2 59 0 -10 0 0 0
0 2 60 0 -10 0 0 0
0 2 61 0 -10 0 0 0
0 2 62 0 -10 0 0 0
0 2 63 0 -10 0 0 0
0 3 0 0 -10 0 0 0
0 3 1 0 -10 0 0 0
0 3 2 0 -10 0 0 0
0 3 3 0 -10 0 0 0
0 3 4 0 -10 0 0 0
0 3 5 0 -10 0 0 0
0 3 6 0 -10 0 0 0
0 3 7 0 -10 0 0 0
0 3 8 0 -10 0 0 0
0 3 9 0 -10 0 0 0
0 3 10 0 -10 0 0 0
0 3 11 0 -10 0 0 0
0 3 12 0 -10 0 0 0
0 3 13 0 -10 0 0 0
0 3 14 0 -10 0 0 0
0 3 15 0 -10 0 0 0
0 3 16 0 -10 0 0 0
0 3 17 0 -10 0 0 0
0 3 18 0 -10 0 0 0
0 3 19 0 -10 0 0 0
0 3 20 0 -10 0 0 0
0 3 21 0 -10 0 0 0
0 3 22 0 -10 0 0 0
0 3 23 0 -10 0 0 0
0 3 24 0 -10 0 0 0
0 3 25 0 -10 0 0 0
0 3 26 0 -10 0 0 0
0 3 27 0 -10 0 0 0
0 3 28 0 -10 0 0 0
0 3 29 0 -10 0 0 0
0 3 30 0 -10 0 0 0
0 3 31 0 -10 0 0 0
0 3 32 0 -10 0 0 0
0 3 33 0 -10 0 0 0
0 3 34 0 -10 0 0 0
0 3 35 0 -10 0 0 0
0 3 36 0 -10 0 0 0
0 3 37 0 -10 0 0 0
0 3 38 0 -10 0 0 0
0 3 39 0 -10 0 0 0
0 3 40 0 -10 0 0 0
0 3 41 0 -10 0 0 0
0 3 42 0 -10 0 0 0
0 3 43 0 -10 0 0 0
0 3 44 0 -10 0 0 0
0 3 45 0 -10 0 0 0
0 3 46 0 -10 0 0 0
0 3 47 0 -10 0 0 0
0 3 48 0 -10 0 0 0
0 3 49 0 -10 0 0 0
0 3 50 0 -10 0 0 0
0 3 51 0 -10 0 0 0
0 3 52 0 -10 0 0 0
0 3 53 0 -10 0 0 0
0 3 54 0 -10 0 0 0
0 3 55 0 -10 0 0 0
0 3 56 0 -10 0 0 0
0 3 57 0 -10 0 0 0
0 3 58 0 -10 0 0 0
0 3 59 0 -10 0 0 0
0 3 60 0 -10 0 0 0
0 3 61 0 -10 0 0 0
0 3 62 0 -10 0 0 0
0 3 63 0 -10 0 0 0
0 4 0 111.749 0.401084 6.88217 0.932592 2301
0 4 1 110.154 0.461713 5.94844 0.841846 1568
0 4 2 113.214 0.497154 8.60331 1.14974 1505
0 4 3 89.3538 0.227633 6.14816 1.39023 4429
0 4 4 91.1957 0.250191 5.81448 1.15507 3492
0 4 5 106.181 0.361698 6.12135 0.950075 2462
0 4 6 111.396 0.431317 7.12503 0.661287 2206
0 4 7 110.64 0.543381 6.37217 1.36641 1254
0 4 8 113.296 0.547876 4.75175 1.31693 1541
0 4 9 104.53 0.30412 6.48725 0.756274 3485
0 4 10 97.9263 0.349932 5.74528 1.16048 2489
0 4 11 126.145 0.553771 8.20249 0.820422 2074
0 4 12 111.419 0.34303 7.28652 0.744234 4266
0 4 13 104.927 0.291436 6.76731 0.821707 3703
0 4 14 113.555 0.329719 6.56413 0.899585 3540
0 4 15 96.7132 0.188765 6.17563 1.14325 6188
0 4 16 100.66 0.473625 6.27174 0.972427 1250
0 4 17 113.301 0.385399 7.24186 1.07997 2992
0 4 18 110.827 0.299942 7.29426 0.994093 5706
0 4 19 117.022 0.481253 7.53329 1.32889 1539
0 4 20 93.0966 0.238995 6.49572 0.770814 4187
0 4 21 98.0205 0.305046 6.35311 0.980589 3500
0 4 22 108.467 0.480373 7.28852 1.23211 2704
0 4 23 108.121 0.355719 6.57541 1.22275 2623
0 4 24 114.951 0.507808 7.15815 1.29865 2082
0 4 25 112.734 0.432869 6.14754 1.15212 1818
0 4 26 115.281 0.245153 6.32605 0.849426 5224
0 4 27 99.3429 0.199523 6.22385 1.21896 6688
0 4 28 107.069 0.277932 7.10471 0.960823 4325
0 4 29 112.053 0.305568 6.9596 1.00402 3695
0 4 30 98.9389 0.228596 6.54459 1.04382 6552
0 4 31 105.811 0.508002 7.9059 0.897386 1658
0 4 32 105.801 0.304348 7.21172 1.04902 3622
0 4 33 100.528 0.226746 6.5471 1.42459 5229
0 4 34 119.833 0.299938 7.6666 0.939647 5815
0 4 35 109.239 0.614851 5.64358 1.07695 1146
0 4 36 101.77 0.25003 6.97755 1.03189 5285
0 4 37 0 -10 0 0 0
0 4 38 110.102 0.721262 7.3399 0.904518 678
0 4 39 115.508 1.09232 8.16853 0.9746 708
0 4 40 101.257 0.307705 6.67352 0.975435 3551
0 4 41 102.133 0.389488 7.6583 0.975693 2204
0 4 42 121.406 0.467199 8.47717 1.10686 2167
0 4 43 120.032 0.441442 6.57632 1.02911 3079
0 4 44 125.153 0.556129 6.04459 1.20281 1105
0 4 45 92.1129 0.31988 6.31802 0.872582 3029
0 4 46 120.865 0.320985 7.92488 0.913587 4734
0 4 47 0 -10 0 0 0
0 4 48 110.764 0.369311 6.71927 1.13836 3017
0 4 49 121.569 0.599252 7.10731 0.77527 1639
0 4 50 96.2136 0.45587 5.45902 0.924488 1609
0 4 51 118.066 0.877769 6.18681 1.10462 565
0 4 52 121.787 0.638425 6.95133 1.3636 1827
0 4 53 86.2443 0.677662 4.9412 0.722948 530
0 4 54 111.258 0.522535 8.04807 1.07473 1522
0 4 55 120.047 0.596156 8.00129 1.4269 1027
0 4 56 117.498 0.948076 5.20998 1.01916 547
0 4 57 122.101 0.976058 4.5028 1.45439 498
0 4 58 114.915 0.556089 5.28823 0.74697 1215
0 4 59 120.653 0.450006 7.4811 1.17562 2612
0 4 60 108.694 0.845181 4.16562 1.09031 684
0 4 61 121.706 0.754872 6.28217 1.18314 582
0 4 62 118.137 0.620976 5.53014 1.13342 1300
0 4 63 123.428 0.94044 7.94358 1.24243 876
0 5 0 115.167 0.873161 6.746 0.926293 634
0 5 1 115.723 0.764605 6.77624 1.08175 579
0 5 2 115.869 0.981945 3.96088 0.72258 404
0 5 3 114.445 0.613507 4.58004 1.39139 1059
0 5 4 112.592 0.503156 6.32099 0.89834 1345
0 5 5 118.583 0.849034 5.77929 1.543 760
0 5 6 112.834 0.86855 6.611 0.954766 395
0 5 7 113.935 0.729293 8.88977 1.01277 779
0 5 8 116.199 0.662172 7.94297 0.78301 849
0 5 9 111.949 0.901001 5.08275 0.820772 510
0 5 10 109.655 0.934346 4.57057 1.01804 488
0 5 11 112.883 0.501682 7.14432 1.10486 1530
0 5 12 113.924 0.689212 4.41212 1.16073 866
0 5 13 109.273 0.421123 7.68182 1.23714 1803
0 5 14 117.912 0.839117 9.27517 1.21995 1427
0 5 15 112.52 0.47089 7.59192 0.92607 1985
0 5 16 112.4 0.999546 6.54057 1.0264 361
0 5 17 112.346 0.421038 7.76447 1.12828 2306
0 5 18 113.736 0.454546 7.98462 1.08153 1678
0 5 19 101.308 0.515189 4.55494 1.19401 1356
0 5 20 97.1369 0.335918 6.13693 0.958809 2178
0 5 21 115.115 1.0597 7.06732 1.05421 453
0 5 22 112.823 0.750133 5.52923 1.38768 971
0 5 23 109.24 0.404401 7.63735 1.27355 2396
0 5 24 116.981 0.785736 7.94446 1.1542 1121
0 5 25 93.9798 0.341576 6.5438 0.859847 2513
0 5 26 114.172 0.380396 7.64344 0.859602 2867
0 5 27 99.9546 0.284716 6.6873 0.893989 3580
0 5 28 97.7634 0.31215 5.85874 0.959432 3220
0 5 29 112.215 0.312435 6.9535 0.721927 4017
